1.808392s 8.39ms | mys [00 25]ms | c 3 | 000.000ms | 01pkts | hdr [25 25.00 50]ms 2/4 | Rq 00ms | s# 0201000001 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.211386s 11.39ms | mys [03 28]ms | c 7 | 000.000ms | 01pkts | hdr [28 28.00 53]ms 2/4 | Rq 00ms | s# 0201000005 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.251661s 51.66ms | mys [03 28]ms | c 8 | 000.000ms | 01pkts | hdr [77 84.23 02]ms 4/4 | Rq 00ms | s# 0401000004 | [#04]->[#01] | T 4 | 0054B | D -33ms | Bw 0.0Bps | pms# 0
2.276651s 76.65ms | mys [03 28]ms | c 8 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000005 | [#03]->[#01] | T 4 | 0054B | D 23ms | Bw 0.0Bps | pms# 0
2.312389s 12.39ms | mys [04 29]ms | c 8 | 000.000ms | 01pkts | hdr [29 29.00 54]ms 2/4 | Rq 00ms | s# 0201000006 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.354671s 54.67ms | mys [04 29]ms | c 9 | 000.000ms | 01pkts | hdr [77 87.24 02]ms 4/4 | Rq 00ms | s# 0401000005 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
2.376638s 76.64ms | mys [04 29]ms | c 9 | 000.000ms | 01pkts | hdr [50 50.00 75]ms 3/4 | Rq 00ms | s# 0301000006 | [#03]->[#01] | T 4 | 0054B | D 22ms | Bw 0.0Bps | pms# 0
2.413386s 13.39ms | mys [05 30]ms | c 9 | 000.000ms | 01pkts | hdr [30 30.00 55]ms 2/4 | Rq 00ms | s# 0201000007 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.457686s 57.69ms | mys [05 30]ms | c 10 | 000.000ms | 01pkts | hdr [78 90.25 03]ms 4/4 | Rq 00ms | s# 0401000006 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
2.476646s 76.65ms | mys [05 30]ms | c 10 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000007 | [#03]->[#01] | T 4 | 0054B | D 21ms | Bw 0.0Bps | pms# 0
2.514391s 14.39ms | mys [06 31]ms | c 10 | 000.000ms | 01pkts | hdr [31 31.00 56]ms 2/4 | Rq 00ms | s# 0201000008 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.560697s 60.70ms | mys [06 31]ms | c 11 | 000.000ms | 01pkts | hdr [79 93.27 04]ms 4/4 | Rq 00ms | s# 0401000007 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
2.576648s 76.65ms | mys [06 31]ms | c 11 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000008 | [#03]->[#01] | T 4 | 0054B | D 20ms | Bw 0.0Bps | pms# 0
2.615391s 15.39ms | mys [07 32]ms | c 11 | 000.000ms | 01pkts | hdr [32 32.00 57]ms 2/4 | Rq 00ms | s# 0201000009 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.663704s 63.70ms | mys [07 32]ms | c 12 | 000.000ms | 01pkts | hdr [80 96.27 05]ms 4/4 | Rq 00ms | s# 0401000008 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
2.676641s 76.64ms | mys [07 32]ms | c 12 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000009 | [#03]->[#01] | T 4 | 0054B | D 19ms | Bw 0.0Bps | pms# 0
2.716384s 16.38ms | mys [08 33]ms | c 12 | 000.000ms | 01pkts | hdr [33 33.00 58]ms 2/4 | Rq 00ms | s# 0201000010 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.766712s 66.71ms | mys [08 33]ms | c 13 | 000.000ms | 01pkts | hdr [81 99.28 06]ms 4/4 | Rq 00ms | s# 0401000009 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
2.776651s 76.65ms | mys [08 33]ms | c 13 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000010 | [#03]->[#01] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
2.817389s 17.39ms | mys [09 34]ms | c 13 | 000.000ms | 01pkts | hdr [34 34.00 59]ms 2/4 | Rq 00ms | s# 0201000011 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.869719s 69.72ms | mys [09 34]ms | c 14 | 000.000ms | 01pkts | hdr [82 2.29 07]ms 4/4 | Rq 00ms | s# 0401000010 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
2.876653s 76.65ms | mys [09 34]ms | c 14 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000011 | [#03]->[#01] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
2.917393s 17.39ms | mys [10 35]ms | c 14 | 000.000ms | 01pkts | hdr [34 34.01 59]ms 2/4 | Rq 00ms | s# 0201000012 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
2.978738s 78.74ms | mys [10 35]ms | c 15 | 000.000ms | 01pkts | hdr [50 52.09 75]ms 3/4 | Rq 00ms | s# 0301000012 | [#03]->[#01] | T 4 | 0054B | D 16ms | Bw 0.0Bps | pms# 0
3.018388s 18.39ms | mys [11 36]ms | c 15 | 000.000ms | 01pkts | hdr [35 35.00 60]ms 2/4 | Rq 00ms | s# 0201000013 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.050433s 50.43ms | mys [11 36]ms | c 16 | 000.000ms | 00pkts | hdr [83 83.00 08]ms 4/4 | Rq 00ms | s# 0401000011 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
3.081746s 81.75ms | mys [11 36]ms | c 16 | 000.000ms | 01pkts | hdr [50 55.10 75]ms 3/4 | Rq 00ms | s# 0301000013 | [#03]->[#01] | T 4 | 0054B | D 15ms | Bw 0.0Bps | pms# 0
3.119387s 19.39ms | mys [12 37]ms | c 16 | 000.000ms | 01pkts | hdr [36 36.00 61]ms 2/4 | Rq 00ms | s# 0201000014 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.151424s 51.42ms | mys [12 37]ms | c 17 | 000.000ms | 01pkts | hdr [84 84.00 09]ms 4/4 | Rq 00ms | s# 0401000012 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
3.185318s 85.32ms | mys [12 37]ms | c 17 | 000.000ms | 01pkts | hdr [50 58.11 75]ms 3/4 | Rq 00ms | s# 0301000014 | [#03]->[#01] | T 4 | 0054B | D 15ms | Bw 0.0Bps | pms# 0
3.220384s 20.38ms | mys [13 38]ms | c 17 | 000.000ms | 01pkts | hdr [37 37.00 62]ms 2/4 | Rq 00ms | s# 0201000015 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.252429s 52.43ms | mys [13 38]ms | c 18 | 000.000ms | 01pkts | hdr [85 85.00 10]ms 4/4 | Rq 00ms | s# 0401000013 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
3.287769s 87.77ms | mys [13 38]ms | c 18 | 000.000ms | 01pkts | hdr [50 61.12 75]ms 3/4 | Rq 00ms | s# 0301000015 | [#03]->[#01] | T 4 | 0054B | D 13ms | Bw 0.0Bps | pms# 0
3.321389s 21.39ms | mys [14 39]ms | c 18 | 000.000ms | 01pkts | hdr [38 38.00 63]ms 2/4 | Rq 00ms | s# 0201000016 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.353426s 53.43ms | mys [14 39]ms | c 19 | 000.000ms | 01pkts | hdr [86 86.00 11]ms 4/4 | Rq 00ms | s# 0401000014 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
3.390776s 90.78ms | mys [14 39]ms | c 19 | 000.000ms | 01pkts | hdr [50 64.13 75]ms 3/4 | Rq 00ms | s# 0301000016 | [#03]->[#01] | T 4 | 0054B | D 12ms | Bw 0.0Bps | pms# 0
3.422389s 22.39ms | mys [15 40]ms | c 19 | 000.000ms | 01pkts | hdr [39 39.00 64]ms 2/4 | Rq 00ms | s# 0201000017 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.454438s 54.44ms | mys [15 40]ms | c 20 | 000.000ms | 01pkts | hdr [87 87.01 12]ms 4/4 | Rq 00ms | s# 0401000015 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
3.493785s 93.79ms | mys [15 40]ms | c 20 | 000.000ms | 01pkts | hdr [50 67.14 75]ms 3/4 | Rq 00ms | s# 0301000017 | [#03]->[#01] | T 4 | 0054B | D 11ms | Bw 0.0Bps | pms# 0
3.523389s 23.39ms | mys [16 41]ms | c 20 | 000.000ms | 01pkts | hdr [40 40.00 65]ms 2/4 | Rq 00ms | s# 0201000018 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.596793s 96.79ms | mys [16 41]ms | c 21 | 000.000ms | 01pkts | hdr [50 70.15 75]ms 3/4 | Rq 00ms | s# 0301000018 | [#03]->[#01] | T 4 | 0054B | D 10ms | Bw 0.0Bps | pms# 0
3.624389s 24.39ms | mys [17 42]ms | c 21 | 000.000ms | 01pkts | hdr [41 41.00 66]ms 2/4 | Rq 00ms | s# 0201000019 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.656427s 56.43ms | mys [17 42]ms | c 22 | 000.000ms | 01pkts | hdr [89 89.00 14]ms 4/4 | Rq 00ms | s# 0401000017 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
3.725386s 25.39ms | mys [17 42]ms | c 22 | 000.000ms | 01pkts | hdr [42 42.00 67]ms 2/4 | Rq 00ms | s# 0201000020 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
3.757432s 57.43ms | mys [17 42]ms | c 23 | 000.000ms | 01pkts | hdr [90 90.00 15]ms 4/4 | Rq 00ms | s# 0401000018 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
3.776651s 76.65ms | mys [17 42]ms | c 23 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000019 | [#03]->[#01] | T 4 | 0054B | D 09ms | Bw 0.0Bps | pms# 0
3.825746s 25.75ms | mys [18 43]ms | c 23 | 000.000ms | 01pkts | hdr [42 42.01 67]ms 2/4 | Rq 00ms | s# 0201000021 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.858451s 58.45ms | mys [18 43]ms | c 24 | 000.000ms | 01pkts | hdr [91 91.02 16]ms 4/4 | Rq 00ms | s# 0401000019 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
3.876652s 76.65ms | mys [18 43]ms | c 24 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000020 | [#03]->[#01] | T 4 | 0054B | D 08ms | Bw 0.0Bps | pms# 0
3.926394s 26.39ms | mys [19 44]ms | c 24 | 000.000ms | 01pkts | hdr [43 43.00 68]ms 2/4 | Rq 00ms | s# 0201000022 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
3.959611s 59.61ms | mys [19 44]ms | c 25 | 000.000ms | 01pkts | hdr [92 92.18 17]ms 4/4 | Rq 00ms | s# 0401000020 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
3.976650s 76.65ms | mys [19 44]ms | c 25 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000021 | [#03]->[#01] | T 4 | 0054B | D 07ms | Bw 0.0Bps | pms# 0
4.027390s 27.39ms | mys [20 45]ms | c 25 | 000.000ms | 01pkts | hdr [44 44.00 69]ms 2/4 | Rq 00ms | s# 0201000023 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
4.060426s 60.43ms | mys [20 45]ms | c 26 | 000.000ms | 01pkts | hdr [93 93.00 18]ms 4/4 | Rq 00ms | s# 0401000021 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
4.076654s 76.65ms | mys [20 45]ms | c 26 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000022 | [#03]->[#01] | T 4 | 0054B | D 06ms | Bw 0.0Bps | pms# 0
4.128999s 29.00ms | mys [21 46]ms | c 26 | 000.000ms | 01pkts | hdr [45 45.60 70]ms 2/4 | Rq 00ms | s# 0201000024 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
4.161428s 61.43ms | mys [21 46]ms | c 27 | 000.000ms | 01pkts | hdr [94 94.00 19]ms 4/4 | Rq 00ms | s# 0401000022 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
4.176647s 76.65ms | mys [21 46]ms | c 27 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000023 | [#03]->[#01] | T 4 | 0054B | D 05ms | Bw 0.0Bps | pms# 0
4.232002s 32.00ms | mys [22 47]ms | c 27 | 000.000ms | 01pkts | hdr [46 48.61 71]ms 2/4 | Rq 00ms | s# 0201000025 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
4.262425s 62.43ms | mys [22 47]ms | c 28 | 000.000ms | 01pkts | hdr [95 95.00 20]ms 4/4 | Rq 00ms | s# 0401000023 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
4.276643s 76.64ms | mys [22 47]ms | c 28 | 000.000ms | 01pkts | hdr [50 50.00 75]ms 3/4 | Rq 00ms | s# 0301000024 | [#03]->[#01] | T 4 | 0054B | D 04ms | Bw 0.0Bps | pms# 0
4.335017s 35.02ms | mys [23 48]ms | c 28 | 000.000ms | 01pkts | hdr [47 51.62 72]ms 2/4 | Rq 00ms | s# 0201000026 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
4.363429s 63.43ms | mys [23 48]ms | c 29 | 000.000ms | 01pkts | hdr [96 96.00 21]ms 4/4 | Rq 00ms | s# 0401000024 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
4.376642s 76.64ms | mys [23 48]ms | c 29 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000025 | [#03]->[#01] | T 4 | 0054B | D 03ms | Bw 0.0Bps | pms# 0
4.438024s 38.02ms | mys [24 49]ms | c 29 | 000.000ms | 01pkts | hdr [48 54.63 73]ms 2/4 | Rq 00ms | s# 0201000027 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
4.464426s 64.43ms | mys [24 49]ms | c 30 | 000.000ms | 01pkts | hdr [97 97.00 22]ms 4/4 | Rq 00ms | s# 0401000025 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
4.476647s 76.65ms | mys [24 49]ms | c 30 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000026 | [#03]->[#01] | T 4 | 0054B | D 02ms | Bw 0.0Bps | pms# 0
4.541050s 41.05ms | mys [25 50]ms | c 30 | 000.000ms | 01pkts | hdr [49 57.66 74]ms 2/4 | Rq 00ms | s# 0201000028 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
4.564430s 64.43ms | mys [25 50]ms | c 31 | 000.000ms | 01pkts | hdr [97 97.01 22]ms 4/4 | Rq 00ms | s# 0401000026 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
4.577208s 77.21ms | mys [25 50]ms | c 31 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000027 | [#03]->[#01] | T 4 | 0054B | D 02ms | Bw 0.0Bps | pms# 0
4.644070s 44.07ms | mys [26 51]ms | c 31 | 000.000ms | 01pkts | hdr [50 60.68 75]ms 2/4 | Rq 00ms | s# 0201000029 | [#02]->[#01] | T 4 | 0054B | D -17ms | Bw 0.0Bps | pms# 0
4.665425s 65.42ms | mys [26 51]ms | c 32 | 000.000ms | 01pkts | hdr [98 98.00 23]ms 4/4 | Rq 00ms | s# 0401000027 | [#04]->[#01] | T 4 | 0054B | D -35ms | Bw 0.0Bps | pms# 0
4.676645s 76.64ms | mys [26 51]ms | c 32 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000028 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.747072s 47.07ms | mys [26 51]ms | c 32 | 000.000ms | 01pkts | hdr [51 63.68 76]ms 2/4 | Rq 00ms | s# 0201000030 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
4.766440s 66.44ms | mys [26 51]ms | c 33 | 000.000ms | 01pkts | hdr [99 99.00 24]ms 4/4 | Rq 00ms | s# 0401000028 | [#04]->[#01] | T 4 | 0054B | D -34ms | Bw 0.0Bps | pms# 0
4.776651s 76.65ms | mys [26 51]ms | c 33 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000029 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.850077s 50.08ms | mys [26 51]ms | c 34 | 000.000ms | 01pkts | hdr [52 66.69 77]ms 2/4 | Rq 00ms | s# 0201000031 | [#02]->[#01] | T 4 | 0054B | D -15ms | Bw 0.0Bps | pms# 0
4.867430s 67.43ms | mys [26 51]ms | c 34 | 000.000ms | 01pkts | hdr [00 0.00 25]ms 4/4 | Rq 00ms | s# 0401000029 | [#04]->[#01] | T 4 | 0054B | D -33ms | Bw 0.0Bps | pms# 0
4.876649s 76.65ms | mys [26 51]ms | c 34 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000030 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.953090s 53.09ms | mys [26 51]ms | c 35 | 000.000ms | 01pkts | hdr [53 69.70 78]ms 2/4 | Rq 00ms | s# 0201000032 | [#02]->[#01] | T 4 | 0054B | D -14ms | Bw 0.0Bps | pms# 0
4.968425s 68.42ms | mys [26 51]ms | c 35 | 000.000ms | 01pkts | hdr [01 1.00 26]ms 4/4 | Rq 00ms | s# 0401000030 | [#04]->[#01] | T 4 | 0054B | D -32ms | Bw 0.0Bps | pms# 0
4.976647s 76.65ms | mys [26 51]ms | c 35 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000031 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.056219s 56.22ms | mys [26 51]ms | c 36 | 000.000ms | 01pkts | hdr [54 72.83 79]ms 2/4 | Rq 00ms | s# 0201000033 | [#02]->[#01] | T 4 | 0054B | D -13ms | Bw 0.0Bps | pms# 0
5.069427s 69.43ms | mys [26 51]ms | c 36 | 000.000ms | 01pkts | hdr [02 2.00 27]ms 4/4 | Rq 00ms | s# 0401000031 | [#04]->[#01] | T 4 | 0054B | D -31ms | Bw 0.0Bps | pms# 0
5.076645s 76.64ms | mys [26 51]ms | c 36 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000032 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.159223s 59.22ms | mys [26 51]ms | c 37 | 000.000ms | 01pkts | hdr [55 75.84 80]ms 2/4 | Rq 00ms | s# 0201000034 | [#02]->[#01] | T 4 | 0054B | D -12ms | Bw 0.0Bps | pms# 0
5.170426s 70.43ms | mys [26 51]ms | c 37 | 000.000ms | 01pkts | hdr [03 3.00 28]ms 4/4 | Rq 00ms | s# 0401000032 | [#04]->[#01] | T 4 | 0054B | D -30ms | Bw 0.0Bps | pms# 0
5.176638s 76.64ms | mys [26 51]ms | c 37 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000033 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.262239s 62.24ms | mys [26 51]ms | c 38 | 000.000ms | 01pkts | hdr [56 78.85 81]ms 2/4 | Rq 00ms | s# 0201000035 | [#02]->[#01] | T 4 | 0054B | D -11ms | Bw 0.0Bps | pms# 0
5.271429s 71.43ms | mys [26 51]ms | c 38 | 000.000ms | 01pkts | hdr [04 4.00 29]ms 4/4 | Rq 00ms | s# 0401000033 | [#04]->[#01] | T 4 | 0054B | D -29ms | Bw 0.0Bps | pms# 0
5.276646s 76.65ms | mys [26 51]ms | c 38 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000034 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.372435s 72.44ms | mys [26 51]ms | c 39 | 000.000ms | 01pkts | hdr [05 5.00 30]ms 4/4 | Rq 00ms | s# 0401000034 | [#04]->[#01] | T 4 | 0054B | D -28ms | Bw 0.0Bps | pms# 0
5.376659s 76.66ms | mys [26 51]ms | c 39 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000035 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.441386s 41.39ms | mys [26 51]ms | c 39 | 000.000ms | 01pkts | hdr [58 58.00 83]ms 2/4 | Rq 00ms | s# 0201000036 | [#02]->[#01] | T 4 | 0054B | D -9ms | Bw 0.0Bps | pms# 0
5.473428s 73.43ms | mys [26 51]ms | c 40 | 000.000ms | 01pkts | hdr [06 6.00 31]ms 4/4 | Rq 00ms | s# 0401000035 | [#04]->[#01] | T 4 | 0054B | D -27ms | Bw 0.0Bps | pms# 0
5.476648s 76.65ms | mys [26 51]ms | c 40 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000036 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.542401s 42.40ms | mys [26 51]ms | c 40 | 000.000ms | 01pkts | hdr [59 59.00 84]ms 2/4 | Rq 00ms | s# 0201000037 | [#02]->[#01] | T 4 | 0054B | D -8ms | Bw 0.0Bps | pms# 0
5.574429s 74.43ms | mys [26 51]ms | c 41 | 000.000ms | 01pkts | hdr [07 7.00 32]ms 4/4 | Rq 00ms | s# 0401000036 | [#04]->[#01] | T 4 | 0054B | D -26ms | Bw 0.0Bps | pms# 0
5.576646s 76.65ms | mys [26 51]ms | c 41 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000037 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.643384s 43.38ms | mys [26 51]ms | c 41 | 000.000ms | 01pkts | hdr [60 60.00 85]ms 2/4 | Rq 00ms | s# 0201000038 | [#02]->[#01] | T 4 | 0054B | D -7ms | Bw 0.0Bps | pms# 0
5.675725s 75.73ms | mys [26 51]ms | c 42 | 000.000ms | 01pkts | hdr [08 8.00 33]ms 4/4 | Rq 00ms | s# 0401000037 | [#04]->[#01] | T 4 | 0054B | D -25ms | Bw 0.0Bps | pms# 0
5.676645s 76.64ms | mys [26 51]ms | c 42 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000038 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
5.744393s 44.39ms | mys [26 51]ms | c 42 | 000.000ms | 01pkts | hdr [61 61.00 86]ms 2/4 | Rq 00ms | s# 0201000039 | [#02]->[#01] | T 4 | 0054B | D -6ms | Bw 0.0Bps | pms# 0
5.776437s 76.44ms | mys [26 51]ms | c 43 | 000.000ms | 01pkts | hdr [09 9.00 34]ms 4/4 | Rq 00ms | s# 0401000038 | [#04]->[#01] | T 4 | 0054B | D -24ms | Bw 0.0Bps | pms# 0
5.777218s 77.22ms | mys [26 51]ms | c 43 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000039 | [#03]->[#01] | T 4 | 0054B | D 01ms | Bw 0.0Bps | pms# 0
