1.808392s 8.39ms | mys [00 25]ms | c 3 | 000.000ms | 01pkts | hdr [25 25.00 50]ms 2/4 | Rq 00ms | s# 0201000001 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.876643s 76.64ms | mys [00 25]ms | c 4 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000001 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.909146s 9.15ms | mys [00 25]ms | c 4 | 000.000ms | 01pkts | hdr [25 25.00 50]ms 2/4 | Rq 00ms | s# 0201000002 | [#02]->[#01] | T 4 | 0054B | D -15ms | Bw 0.0Bps | pms# 0
1.942852s 42.85ms | mys [00 25]ms | c 5 | 000.000ms | 01pkts | hdr [75 75.20 00]ms 4/4 | Rq 00ms | s# 0401000001 | [#04]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.976646s 76.65ms | mys [00 25]ms | c 5 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000002 | [#03]->[#01] | T 4 | 0054B | D 26ms | Bw 0.0Bps | pms# 0
2.009389s 9.39ms | mys [01 26]ms | c 5 | 000.000ms | 00pkts | hdr [26 26.00 51]ms 2/4 | Rq 00ms | s# 0201000003 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.045644s 45.64ms | mys [01 26]ms | c 6 | 000.000ms | 01pkts | hdr [75 78.21 00]ms 4/4 | Rq 00ms | s# 0401000002 | [#04]->[#01] | T 4 | 0054B | D -33ms | Bw 0.0Bps | pms# 0
2.076647s 76.65ms | mys [01 26]ms | c 6 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000003 | [#03]->[#01] | T 4 | 0054B | D 25ms | Bw 0.0Bps | pms# 0
2.110392s 10.39ms | mys [02 27]ms | c 6 | 000.000ms | 01pkts | hdr [27 27.00 52]ms 2/4 | Rq 00ms | s# 0201000004 | [#02]->[#01] | T 4 | 0054B | D -16ms | Bw 0.0Bps | pms# 0
2.148652s 48.65ms | mys [02 27]ms | c 7 | 000.000ms | 01pkts | hdr [76 81.22 01]ms 4/4 | Rq 00ms | s# 0401000003 | [#04]->[#01] | T 4 | 0054B | D -33ms | Bw 0.0Bps | pms# 0
2.176650s 76.65ms | mys [02 27]ms | c 7 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000004 | [#03]->[#01] | T 4 | 0054B | D 24ms | Bw 0.0Bps | pms# 0
