2.393841s 93.84ms | mys [32 57]ms | c 11 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000009 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.424908s 24.91ms | mys [32 57]ms | c 11 | 000.000ms | 01pkts | hdr [08 8.00 33]ms 1/4 | Rq 00ms | s# 0102000011 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
2.484470s 84.47ms | mys [33 58]ms | c 12 | 000.000ms | 01pkts | hdr [81 0.29 06]ms 4/4 | Rq 00ms | s# 0402000009 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.493786s 93.79ms | mys [33 58]ms | c 12 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000010 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.525915s 25.91ms | mys [33 58]ms | c 12 | 000.000ms | 01pkts | hdr [09 9.00 34]ms 1/4 | Rq 00ms | s# 0102000012 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
2.587481s 87.48ms | mys [34 59]ms | c 13 | 000.000ms | 01pkts | hdr [82 3.29 07]ms 4/4 | Rq 00ms | s# 0402000010 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.593666s 93.67ms | mys [34 59]ms | c 13 | 000.000ms | 01pkts | hdr [50 50.09 75]ms 3/4 | Rq 00ms | s# 0302000011 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.696498s 96.50ms | mys [34 59]ms | c 14 | 000.000ms | 01pkts | hdr [50 53.10 75]ms 3/4 | Rq 00ms | s# 0302000012 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.727913s 27.91ms | mys [34 59]ms | c 14 | 000.000ms | 01pkts | hdr [11 11.00 36]ms 1/4 | Rq 00ms | s# 0102000014 | [#01]->[#02] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
2.767442s 67.44ms | mys [35 60]ms | c 15 | 000.000ms | 01pkts | hdr [83 83.01 08]ms 4/4 | Rq 00ms | s# 0402000011 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.799509s 99.51ms | mys [35 60]ms | c 15 | 000.000ms | 01pkts | hdr [50 56.11 75]ms 3/4 | Rq 00ms | s# 0302000013 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.828912s 28.91ms | mys [35 60]ms | c 15 | 000.000ms | 01pkts | hdr [12 12.00 37]ms 1/4 | Rq 00ms | s# 0102000015 | [#01]->[#02] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
2.868433s 68.43ms | mys [36 61]ms | c 16 | 000.000ms | 00pkts | hdr [84 84.00 09]ms 4/4 | Rq 00ms | s# 0402000012 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.902513s 2.51ms | mys [36 61]ms | c 16 | 000.000ms | 01pkts | hdr [50 59.11 75]ms 3/4 | Rq 00ms | s# 0302000014 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.929913s 29.91ms | mys [36 61]ms | c 16 | 000.000ms | 01pkts | hdr [13 13.00 38]ms 1/4 | Rq 00ms | s# 0102000016 | [#01]->[#02] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
2.969485s 69.49ms | mys [37 62]ms | c 17 | 000.000ms | 01pkts | hdr [85 85.01 10]ms 4/4 | Rq 00ms | s# 0402000013 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.005528s 5.53ms | mys [37 62]ms | c 17 | 000.000ms | 01pkts | hdr [50 62.12 75]ms 3/4 | Rq 00ms | s# 0302000015 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.030916s 30.92ms | mys [37 62]ms | c 17 | 000.000ms | 01pkts | hdr [14 14.00 39]ms 1/4 | Rq 00ms | s# 0102000017 | [#01]->[#02] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
3.070363s 70.36ms | mys [38 63]ms | c 18 | 000.000ms | 01pkts | hdr [86 86.01 11]ms 4/4 | Rq 00ms | s# 0402000014 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.108533s 8.53ms | mys [38 63]ms | c 18 | 000.000ms | 01pkts | hdr [50 65.13 75]ms 3/4 | Rq 00ms | s# 0302000016 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.131916s 31.92ms | mys [38 63]ms | c 18 | 000.000ms | 01pkts | hdr [15 15.00 40]ms 1/4 | Rq 00ms | s# 0102000018 | [#01]->[#02] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
3.171404s 71.40ms | mys [39 64]ms | c 19 | 000.000ms | 01pkts | hdr [87 87.02 12]ms 4/4 | Rq 00ms | s# 0402000015 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.211543s 11.54ms | mys [39 64]ms | c 19 | 000.000ms | 01pkts | hdr [50 68.14 75]ms 3/4 | Rq 00ms | s# 0302000017 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
