1.550017s 50.02ms | mys [50 75]ms | c 2 | 031.038ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000001 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.550021s 50.02ms | mys [50 75]ms | c 2 | 030.039ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000001 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.550023s 50.02ms | mys [50 75]ms | c 2 | 029.038ms | 00pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000001 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.650012s 50.01ms | mys [50 75]ms | c 3 | 028.019ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000002 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.650015s 50.01ms | mys [50 75]ms | c 3 | 027.019ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000002 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.650017s 50.02ms | mys [50 75]ms | c 3 | 026.017ms | 00pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000002 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.750011s 50.01ms | mys [50 75]ms | c 4 | 025.007ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000003 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.750013s 50.01ms | mys [50 75]ms | c 4 | 024.007ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000003 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.750020s 50.02ms | mys [50 75]ms | c 4 | 023.012ms | 00pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0304000003 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.850015s 50.01ms | mys [50 75]ms | c 5 | 022.000ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000004 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.850018s 50.02ms | mys [50 75]ms | c 5 | 021.001ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000004 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.850020s 50.02ms | mys [50 75]ms | c 5 | 020.001ms | 00pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000004 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.950016s 50.02ms | mys [50 75]ms | c 6 | 018.992ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000005 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.950020s 50.02ms | mys [50 75]ms | c 6 | 017.994ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000005 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.950022s 50.02ms | mys [50 75]ms | c 6 | 016.993ms | 00pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000005 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.050005s 50.01ms | mys [50 75]ms | c 7 | 015.971ms | 02pkts | hdr [50 50.00 75]ms 3/4 | Rq 00ms | s# 0301000006 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.050008s 50.01ms | mys [50 75]ms | c 7 | 014.970ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000006 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.050011s 50.01ms | mys [50 75]ms | c 7 | 013.970ms | 00pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0304000006 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.150012s 50.01ms | mys [50 75]ms | c 8 | 012.969ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000007 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.150016s 50.02ms | mys [50 75]ms | c 8 | 011.971ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000007 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.150022s 50.02ms | mys [50 75]ms | c 8 | 010.974ms | 00pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000007 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.250012s 50.01ms | mys [50 75]ms | c 9 | 009.959ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000008 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.250016s 50.02ms | mys [50 75]ms | c 9 | 008.962ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000008 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.250018s 50.02ms | mys [50 75]ms | c 9 | 007.961ms | 00pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000008 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.350012s 50.01ms | mys [50 75]ms | c 10 | 006.950ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000009 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.350014s 50.01ms | mys [50 75]ms | c 10 | 005.948ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000009 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.350015s 50.01ms | mys [50 75]ms | c 10 | 004.948ms | 00pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0304000009 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.450014s 50.01ms | mys [50 75]ms | c 11 | 003.943ms | 02pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000010 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.450018s 50.02ms | mys [50 75]ms | c 11 | 002.944ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000010 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.450020s 50.02ms | mys [50 75]ms | c 11 | 001.945ms | 00pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000010 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.550014s 50.01ms | mys [50 75]ms | c 12 | 000.931ms | 00pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0301000011 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.550088s 50.09ms | mys [50 75]ms | c 12 | 000.002ms | 00pkts | hdr [50 50.09 75]ms 3/4 | Rq 00ms | s# 0302000011 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.551091s 51.09ms | mys [50 75]ms | c 12 | 000.003ms | 00pkts | hdr [50 51.09 75]ms 3/4 | Rq 00ms | s# 0304000011 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.652097s 52.10ms | mys [50 75]ms | c 13 | 000.004ms | 00pkts | hdr [50 52.09 75]ms 3/4 | Rq 00ms | s# 0301000012 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.653101s 53.10ms | mys [50 75]ms | c 13 | 000.004ms | 00pkts | hdr [50 53.10 75]ms 3/4 | Rq 00ms | s# 0302000012 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.654102s 54.10ms | mys [50 75]ms | c 13 | 000.003ms | 00pkts | hdr [50 54.10 75]ms 3/4 | Rq 00ms | s# 0304000012 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.755107s 55.11ms | mys [50 75]ms | c 14 | 000.004ms | 00pkts | hdr [50 55.10 75]ms 3/4 | Rq 00ms | s# 0301000013 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.756111s 56.11ms | mys [50 75]ms | c 14 | 000.004ms | 00pkts | hdr [50 56.11 75]ms 3/4 | Rq 00ms | s# 0302000013 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.757112s 57.11ms | mys [50 75]ms | c 14 | 000.003ms | 00pkts | hdr [50 57.11 75]ms 3/4 | Rq 00ms | s# 0304000013 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.858116s 58.12ms | mys [50 75]ms | c 15 | 000.003ms | 00pkts | hdr [50 58.11 75]ms 3/4 | Rq 00ms | s# 0301000014 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.859119s 59.12ms | mys [50 75]ms | c 15 | 000.003ms | 00pkts | hdr [50 59.11 75]ms 3/4 | Rq 00ms | s# 0302000014 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.860121s 60.12ms | mys [50 75]ms | c 15 | 000.003ms | 00pkts | hdr [50 60.12 75]ms 3/4 | Rq 00ms | s# 0304000014 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.961127s 61.13ms | mys [50 75]ms | c 16 | 000.004ms | 00pkts | hdr [50 61.12 75]ms 3/4 | Rq 00ms | s# 0301000015 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.962128s 62.13ms | mys [50 75]ms | c 16 | 000.004ms | 00pkts | hdr [50 62.12 75]ms 3/4 | Rq 00ms | s# 0302000015 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.963134s 63.13ms | mys [50 75]ms | c 16 | 000.005ms | 00pkts | hdr [50 63.13 75]ms 3/4 | Rq 00ms | s# 0304000015 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.064137s 64.14ms | mys [50 75]ms | c 17 | 000.004ms | 00pkts | hdr [50 64.13 75]ms 3/4 | Rq 00ms | s# 0301000016 | [#03]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.065138s 65.14ms | mys [50 75]ms | c 17 | 000.004ms | 00pkts | hdr [50 65.13 75]ms 3/4 | Rq 00ms | s# 0302000016 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.066140s 66.14ms | mys [50 75]ms | c 17 | 000.003ms | 00pkts | hdr [50 66.14 75]ms 3/4 | Rq 00ms | s# 0304000016 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
