1.373921s 73.92ms | mys [50 75]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.01 25]ms 1/4 | Rq 00ms | s# 0103000001 | [#01]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.473876s 73.88ms | mys [50 75]ms | c 2 | 000.000ms | 02pkts | hdr [00 0.02 25]ms 1/4 | Rq 00ms | s# 0103000002 | [#01]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.482140s 82.14ms | mys [50 75]ms | c 2 | 000.000ms | 03pkts | hdr [25 25.01 50]ms 2/4 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.582523s 82.52ms | mys [50 75]ms | c 3 | 000.000ms | 01pkts | hdr [25 25.01 50]ms 2/4 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.618144s 18.14ms | mys [50 75]ms | c 3 | 000.000ms | 01pkts | hdr [75 77.21 00]ms 4/4 | Rq 00ms | s# 0403000001 | [#04]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.675098s 75.10ms | mys [50 75]ms | c 4 | 000.000ms | 00pkts | hdr [01 1.01 26]ms 1/4 | Rq 00ms | s# 0103000004 | [#01]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.683363s 83.36ms | mys [50 75]ms | c 4 | 000.000ms | 01pkts | hdr [26 26.01 51]ms 2/4 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.721155s 21.15ms | mys [50 75]ms | c 4 | 000.000ms | 01pkts | hdr [75 80.22 00]ms 4/4 | Rq 00ms | s# 0403000002 | [#04]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.775922s 75.92ms | mys [50 75]ms | c 5 | 000.000ms | 01pkts | hdr [02 2.01 27]ms 1/4 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 4 | 0054B | D -24ms | Bw 0.0Bps | pms# 0
1.784146s 84.14ms | mys [50 75]ms | c 5 | 000.000ms | 01pkts | hdr [27 27.01 52]ms 2/4 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.824161s 24.16ms | mys [50 75]ms | c 5 | 000.000ms | 01pkts | hdr [76 83.23 01]ms 4/4 | Rq 00ms | s# 0403000003 | [#04]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
