1.833318s 33.32ms | mys [75 100]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.02 25]ms 1/4 | Rq 00ms | s# 0104000002 | [#01]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.841572s 41.57ms | mys [75 100]ms | c 1 | 000.000ms | 02pkts | hdr [25 25.02 50]ms 2/4 | Rq 00ms | s# 0204000001 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.909723s 9.72ms | mys [75 00]ms | c 2 | 000.000ms | 03pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000001 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.941981s 41.98ms | mys [75 00]ms | c 2 | 000.000ms | 04pkts | hdr [25 25.01 50]ms 2/4 | Rq 00ms | s# 0204000002 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.034128s 34.13ms | mys [75 00]ms | c 3 | 000.000ms | 01pkts | hdr [01 1.01 26]ms 1/4 | Rq 00ms | s# 0104000004 | [#01]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.042375s 42.38ms | mys [75 00]ms | c 3 | 000.000ms | 00pkts | hdr [26 26.01 51]ms 2/4 | Rq 00ms | s# 0204000003 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.109564s 9.56ms | mys [75 00]ms | c 4 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0304000003 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.135338s 35.34ms | mys [75 00]ms | c 4 | 000.000ms | 01pkts | hdr [02 2.01 27]ms 1/4 | Rq 00ms | s# 0104000005 | [#01]->[#04] | T 4 | 0054B | D 35ms | Bw 0.0Bps | pms# 0
2.143561s 43.56ms | mys [75 00]ms | c 4 | 000.000ms | 01pkts | hdr [27 27.01 52]ms 2/4 | Rq 00ms | s# 0204000004 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.209574s 9.57ms | mys [76 01]ms | c 5 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0304000004 | [#03]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.236324s 36.32ms | mys [76 01]ms | c 5 | 000.000ms | 01pkts | hdr [03 3.01 28]ms 1/4 | Rq 00ms | s# 0104000006 | [#01]->[#04] | T 4 | 0054B | D 35ms | Bw 0.0Bps | pms# 0
