1624900002.211700s 11.69ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.50 25]ms 1/4 | Rq 00ms | s# 0103000001 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.285865s 85.86ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.30 50]ms 2/4 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.311905s 11.90ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.68 25]ms 1/4 | Rq 00ms | s# 0103000002 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.385047s 85.04ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.38 50]ms 2/4 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.411916s 11.91ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.72 25]ms 1/4 | Rq 00ms | s# 0103000003 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.485094s 85.09ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.28 50]ms 2/4 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.511805s 11.80ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.60 25]ms 1/4 | Rq 00ms | s# 0103000004 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.586375s 86.37ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.38 50]ms 2/4 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.611930s 11.93ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.75 25]ms 1/4 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.685068s 85.06ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.32 50]ms 2/4 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.712367s 12.36ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.67 25]ms 1/4 | Rq 00ms | s# 0103000006 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.785048s 85.04ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.34 50]ms 2/4 | Rq 00ms | s# 0203000006 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.812381s 12.38ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.71 25]ms 1/4 | Rq 00ms | s# 0103000007 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.885058s 85.05ms | mys [50 75]ms | c 1 | 000.000ms | 01pkts | hdr [25 25.36 50]ms 2/4 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.911831s 11.83ms | mys [50 75]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.66 25]ms 1/4 | Rq 00ms | s# 0103000008 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900002.984838s 84.84ms | mys [50 75]ms | c 2 | 000.000ms | 01pkts | hdr [25 25.17 50]ms 2/4 | Rq 00ms | s# 0203000008 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900003.011783s 11.78ms | mys [50 75]ms | c 2 | 000.000ms | 01pkts | hdr [00 0.68 25]ms 1/4 | Rq 00ms | s# 0103000009 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900003.084824s 84.82ms | mys [50 75]ms | c 3 | 000.000ms | 01pkts | hdr [25 25.16 50]ms 2/4 | Rq 00ms | s# 0203000009 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900003.111959s 11.96ms | mys [50 75]ms | c 3 | 000.000ms | 01pkts | hdr [00 0.56 25]ms 1/4 | Rq 00ms | s# 0103000010 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624900003.185910s 85.91ms | mys [50 75]ms | c 4 | 000.000ms | 01pkts | hdr [25 25.28 50]ms 2/4 | Rq 00ms | s# 0203000010 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
