1624899210.692564s 92.56ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.35 25]ms 1/4 | Rq 00ms | s# 0103000001 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899210.792480s 92.48ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.63 25]ms 1/4 | Rq 00ms | s# 0103000002 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899210.892233s 92.23ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.55 25]ms 1/4 | Rq 00ms | s# 0103000003 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899210.987127s 87.12ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.29 50]ms 2/4 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899210.992228s 92.22ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.48 25]ms 1/4 | Rq 00ms | s# 0103000004 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.087113s 87.11ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.43 50]ms 2/4 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.092144s 92.14ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.40 25]ms 1/4 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.187118s 87.11ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.36 50]ms 2/4 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.192233s 92.23ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.48 25]ms 1/4 | Rq 00ms | s# 0103000006 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.287108s 87.10ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.39 50]ms 2/4 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.292109s 92.11ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.41 25]ms 1/4 | Rq 00ms | s# 0103000007 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.386987s 86.98ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.30 50]ms 2/4 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.392089s 92.09ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.45 25]ms 1/4 | Rq 00ms | s# 0103000008 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.492514s 92.51ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.48 25]ms 1/4 | Rq 00ms | s# 0103000009 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.587102s 87.10ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.38 50]ms 2/4 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.592233s 92.23ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.47 25]ms 1/4 | Rq 00ms | s# 0103000010 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.686852s 86.85ms | mys [50 75]ms | c 1 | 000.000ms | 01pkts | hdr [25 25.20 50]ms 2/4 | Rq 00ms | s# 0203000008 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.692649s 92.65ms | mys [50 75]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.56 25]ms 1/4 | Rq 00ms | s# 0103000011 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.787018s 87.01ms | mys [50 75]ms | c 2 | 000.000ms | 01pkts | hdr [25 25.26 50]ms 2/4 | Rq 00ms | s# 0203000009 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.792820s 92.81ms | mys [50 75]ms | c 2 | 000.000ms | 01pkts | hdr [00 0.43 25]ms 1/4 | Rq 00ms | s# 0103000012 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.887096s 87.09ms | mys [50 75]ms | c 3 | 000.000ms | 01pkts | hdr [25 25.26 50]ms 2/4 | Rq 00ms | s# 0203000010 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.892153s 92.15ms | mys [50 75]ms | c 3 | 000.000ms | 01pkts | hdr [00 0.42 25]ms 1/4 | Rq 00ms | s# 0103000013 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.987506s 87.50ms | mys [50 75]ms | c 4 | 000.000ms | 01pkts | hdr [25 25.23 50]ms 2/4 | Rq 00ms | s# 0203000011 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899211.992189s 92.18ms | mys [50 75]ms | c 4 | 000.000ms | 01pkts | hdr [00 0.45 25]ms 1/4 | Rq 00ms | s# 0103000014 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.087075s 87.07ms | mys [50 75]ms | c 5 | 000.000ms | 01pkts | hdr [25 25.26 50]ms 2/4 | Rq 00ms | s# 0203000012 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.092148s 92.14ms | mys [50 75]ms | c 5 | 000.000ms | 01pkts | hdr [00 0.47 25]ms 1/4 | Rq 00ms | s# 0103000015 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.180512s 80.51ms | mys [50 75]ms | c 6 | 000.000ms | 01pkts | hdr [75 75.47 100]ms 4/4 | Rq 00ms | s# 0403000001 | [#04]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.186972s 86.97ms | mys [50 75]ms | c 6 | 000.000ms | 01pkts | hdr [25 25.26 50]ms 2/4 | Rq 00ms | s# 0203000013 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.192359s 92.35ms | mys [50 75]ms | c 6 | 000.000ms | 01pkts | hdr [00 0.49 25]ms 1/4 | Rq 00ms | s# 0103000016 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.280116s 80.11ms | mys [50 75]ms | c 7 | 000.000ms | 01pkts | hdr [75 75.50 00]ms 4/4 | Rq 00ms | s# 0403000002 | [#04]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.286952s 86.95ms | mys [50 75]ms | c 7 | 000.000ms | 01pkts | hdr [25 25.25 50]ms 2/4 | Rq 00ms | s# 0203000014 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.292148s 92.15ms | mys [50 75]ms | c 7 | 000.000ms | 01pkts | hdr [00 0.39 25]ms 1/4 | Rq 00ms | s# 0103000017 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.386861s 86.86ms | mys [50 75]ms | c 8 | 000.000ms | 01pkts | hdr [25 25.18 50]ms 2/4 | Rq 00ms | s# 0203000015 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.392587s 92.58ms | mys [50 75]ms | c 8 | 000.000ms | 01pkts | hdr [00 0.39 25]ms 1/4 | Rq 00ms | s# 0103000018 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.479847s 79.84ms | mys [50 75]ms | c 9 | 000.000ms | 01pkts | hdr [75 75.50 00]ms 4/4 | Rq 00ms | s# 0403000004 | [#04]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.486838s 86.84ms | mys [50 75]ms | c 9 | 000.000ms | 01pkts | hdr [25 25.18 50]ms 2/4 | Rq 00ms | s# 0203000016 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.492587s 92.58ms | mys [50 75]ms | c 9 | 000.000ms | 01pkts | hdr [00 0.53 25]ms 1/4 | Rq 00ms | s# 0103000019 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.579729s 79.73ms | mys [50 75]ms | c 10 | 000.000ms | 01pkts | hdr [75 75.39 00]ms 4/4 | Rq 00ms | s# 0403000005 | [#04]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.587206s 87.20ms | mys [50 75]ms | c 10 | 000.000ms | 01pkts | hdr [25 25.31 50]ms 2/4 | Rq 00ms | s# 0203000017 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.593544s 93.54ms | mys [50 75]ms | c 10 | 000.000ms | 01pkts | hdr [00 0.50 25]ms 1/4 | Rq 00ms | s# 0103000020 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899212.679677s 79.67ms | mys [50 75]ms | c 11 | 000.000ms | 01pkts | hdr [75 75.35 00]ms 4/4 | Rq 00ms | s# 0403000006 | [#04]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
