1624897170.650864s 50.86ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.45 25]ms 1/4 | Rq 00ms | s# 0103000001 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897170.851000s 51.00ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.48 25]ms 1/4 | Rq 00ms | s# 0103000003 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897170.950888s 50.81ms | mys [50 75]ms | c 0 | 000.000ms | 00pkts | hdr [00 0.50 25]ms 1/4 | Rq 00ms | s# 0103000004 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.017008s 17.00ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.37 50]ms 2/4 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.050937s 50.93ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.98 25]ms 1/4 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.116359s 16.36ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.34 50]ms 2/4 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.150383s 50.38ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.45 25]ms 1/4 | Rq 00ms | s# 0103000006 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.216225s 16.22ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.30 50]ms 2/4 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.250363s 50.36ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.54 25]ms 1/4 | Rq 00ms | s# 0103000007 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.316811s 16.81ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.31 50]ms 2/4 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897171.350501s 50.50ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.57 25]ms 1/4 | Rq 00ms | s# 0103000008 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
