1624905333.730159s 10.15ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.46 80]ms 2/3 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905333.845923s 5.92ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.69 80]ms 2/3 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905333.965825s 5.82ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.58 80]ms 2/3 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.085906s 5.90ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.66 80]ms 2/3 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.205778s 5.77ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.326062s 6.06ms | mys [80 120]ms | c 1 | 000.000ms | 01pkts | hdr [40 40.73 80]ms 2/3 | Rq 00ms | s# 0203000006 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.446056s 6.05ms | mys [80 00]ms | c 2 | 000.000ms | 01pkts | hdr [40 40.70 80]ms 2/3 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.565657s 5.65ms | mys [80 00]ms | c 3 | 000.000ms | 01pkts | hdr [40 40.46 80]ms 2/3 | Rq 00ms | s# 0203000008 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.685692s 5.69ms | mys [80 00]ms | c 4 | 000.000ms | 01pkts | hdr [40 40.59 80]ms 2/3 | Rq 00ms | s# 0203000009 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.805662s 5.66ms | mys [80 00]ms | c 5 | 000.000ms | 01pkts | hdr [40 40.52 80]ms 2/3 | Rq 00ms | s# 0203000010 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905334.926194s 6.19ms | mys [80 00]ms | c 6 | 000.000ms | 01pkts | hdr [40 40.86 80]ms 2/3 | Rq 00ms | s# 0203000011 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.045805s 5.80ms | mys [80 00]ms | c 7 | 000.000ms | 01pkts | hdr [40 40.58 80]ms 2/3 | Rq 00ms | s# 0203000012 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.165913s 5.91ms | mys [80 00]ms | c 8 | 000.000ms | 01pkts | hdr [40 40.66 80]ms 2/3 | Rq 00ms | s# 0203000013 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.285732s 5.73ms | mys [80 00]ms | c 9 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000014 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.405667s 5.66ms | mys [80 00]ms | c 10 | 000.000ms | 01pkts | hdr [40 40.51 80]ms 2/3 | Rq 00ms | s# 0203000015 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.526125s 6.12ms | mys [80 00]ms | c 11 | 000.000ms | 01pkts | hdr [40 40.70 80]ms 2/3 | Rq 00ms | s# 0203000016 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.645890s 5.88ms | mys [80 00]ms | c 12 | 000.000ms | 01pkts | hdr [40 40.71 80]ms 2/3 | Rq 00ms | s# 0203000017 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.765792s 5.79ms | mys [80 00]ms | c 13 | 000.000ms | 01pkts | hdr [40 40.56 80]ms 2/3 | Rq 00ms | s# 0203000018 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905335.885788s 5.78ms | mys [80 00]ms | c 14 | 000.000ms | 01pkts | hdr [40 40.59 80]ms 2/3 | Rq 00ms | s# 0203000019 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905336.005631s 5.63ms | mys [80 00]ms | c 15 | 000.000ms | 01pkts | hdr [40 40.48 80]ms 2/3 | Rq 00ms | s# 0203000020 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905336.130106s 10.10ms | mys [80 00]ms | c 16 | 000.000ms | 01pkts | hdr [40 40.68 80]ms 2/3 | Rq 00ms | s# 0203000021 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905336.245923s 5.92ms | mys [80 00]ms | c 17 | 000.000ms | 01pkts | hdr [40 40.68 80]ms 2/3 | Rq 00ms | s# 0203000022 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905336.366209s 6.21ms | mys [80 00]ms | c 18 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000023 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905336.485832s 5.83ms | mys [80 00]ms | c 19 | 000.000ms | 01pkts | hdr [40 40.64 80]ms 2/3 | Rq 00ms | s# 0203000024 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905336.605603s 5.60ms | mys [80 00]ms | c 20 | 000.000ms | 01pkts | hdr [40 40.44 80]ms 2/3 | Rq 00ms | s# 0203000025 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905336.726052s 6.05ms | mys [80 00]ms | c 21 | 000.000ms | 01pkts | hdr [40 40.72 80]ms 2/3 | Rq 00ms | s# 0203000026 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
