1624905007.320393s 0.39ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.46 80]ms 2/3 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905007.440529s 0.50ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.71 80]ms 2/3 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905007.560388s 0.38ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.61 80]ms 2/3 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905007.680761s 0.76ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905007.800366s 0.36ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.61 80]ms 2/3 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905007.920270s 0.27ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.50 80]ms 2/3 | Rq 00ms | s# 0203000006 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905008.040291s 0.29ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.51 80]ms 2/3 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905008.279923s 119.92ms | mys [80 00]ms | c 2 | 000.000ms | 01pkts | hdr [40 40.47 80]ms 2/3 | Rq 00ms | s# 0203000009 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905008.400084s 0.08ms | mys [80 00]ms | c 3 | 000.000ms | 01pkts | hdr [40 40.40 80]ms 2/3 | Rq 00ms | s# 0203000010 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905008.520561s 0.56ms | mys [80 00]ms | c 4 | 000.000ms | 01pkts | hdr [40 40.59 80]ms 2/3 | Rq 00ms | s# 0203000011 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905008.640400s 0.40ms | mys [80 00]ms | c 5 | 000.000ms | 01pkts | hdr [40 40.56 80]ms 2/3 | Rq 00ms | s# 0203000012 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905008.760289s 0.29ms | mys [80 00]ms | c 6 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000013 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905008.880351s 0.35ms | mys [80 00]ms | c 7 | 000.000ms | 01pkts | hdr [40 40.54 80]ms 2/3 | Rq 00ms | s# 0203000014 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.000628s 0.62ms | mys [80 00]ms | c 8 | 000.000ms | 01pkts | hdr [40 40.64 80]ms 2/3 | Rq 00ms | s# 0203000015 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.120369s 0.36ms | mys [80 00]ms | c 9 | 000.000ms | 01pkts | hdr [40 40.49 80]ms 2/3 | Rq 00ms | s# 0203000016 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.240366s 0.36ms | mys [80 00]ms | c 10 | 000.000ms | 01pkts | hdr [40 40.56 80]ms 2/3 | Rq 00ms | s# 0203000017 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.360338s 0.33ms | mys [80 00]ms | c 11 | 000.000ms | 01pkts | hdr [40 40.58 80]ms 2/3 | Rq 00ms | s# 0203000018 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.480361s 0.36ms | mys [80 00]ms | c 12 | 000.000ms | 01pkts | hdr [40 40.54 80]ms 2/3 | Rq 00ms | s# 0203000019 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.600353s 0.35ms | mys [80 00]ms | c 13 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000020 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.722552s 2.55ms | mys [80 00]ms | c 14 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000021 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.840829s 0.83ms | mys [80 00]ms | c 15 | 000.000ms | 01pkts | hdr [40 40.73 80]ms 2/3 | Rq 00ms | s# 0203000022 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905009.960526s 0.52ms | mys [80 00]ms | c 16 | 000.000ms | 01pkts | hdr [40 40.62 80]ms 2/3 | Rq 00ms | s# 0203000023 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.080301s 0.29ms | mys [80 00]ms | c 17 | 000.000ms | 01pkts | hdr [40 40.52 80]ms 2/3 | Rq 00ms | s# 0203000024 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.200383s 0.38ms | mys [80 00]ms | c 18 | 000.000ms | 01pkts | hdr [40 40.49 80]ms 2/3 | Rq 00ms | s# 0203000025 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.320496s 0.49ms | mys [80 00]ms | c 19 | 000.000ms | 01pkts | hdr [40 40.54 80]ms 2/3 | Rq 00ms | s# 0203000026 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.440973s 0.97ms | mys [80 00]ms | c 20 | 000.000ms | 01pkts | hdr [40 40.79 80]ms 2/3 | Rq 00ms | s# 0203000027 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.560280s 0.28ms | mys [80 00]ms | c 21 | 000.000ms | 01pkts | hdr [40 40.50 80]ms 2/3 | Rq 00ms | s# 0203000028 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.680256s 0.25ms | mys [80 00]ms | c 22 | 000.000ms | 01pkts | hdr [40 40.41 80]ms 2/3 | Rq 00ms | s# 0203000029 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.800374s 0.37ms | mys [80 00]ms | c 23 | 000.000ms | 01pkts | hdr [40 40.54 80]ms 2/3 | Rq 00ms | s# 0203000030 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905010.920388s 0.38ms | mys [80 00]ms | c 24 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000031 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.041167s 1.17ms | mys [80 00]ms | c 25 | 000.000ms | 01pkts | hdr [40 40.90 80]ms 2/3 | Rq 00ms | s# 0203000032 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.160330s 0.33ms | mys [80 00]ms | c 26 | 000.000ms | 01pkts | hdr [40 40.50 80]ms 2/3 | Rq 00ms | s# 0203000033 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.280305s 0.30ms | mys [80 00]ms | c 27 | 000.000ms | 01pkts | hdr [40 40.53 80]ms 2/3 | Rq 00ms | s# 0203000034 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.400421s 0.41ms | mys [80 00]ms | c 28 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000035 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.521311s 1.31ms | mys [80 00]ms | c 29 | 000.000ms | 01pkts | hdr [40 40.65 80]ms 2/3 | Rq 00ms | s# 0203000036 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.640665s 0.66ms | mys [80 00]ms | c 30 | 000.000ms | 01pkts | hdr [40 40.75 80]ms 2/3 | Rq 00ms | s# 0203000037 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.760219s 0.22ms | mys [80 00]ms | c 31 | 000.000ms | 01pkts | hdr [40 40.44 80]ms 2/3 | Rq 00ms | s# 0203000038 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905011.880341s 0.34ms | mys [80 00]ms | c 32 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000039 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905012.000365s 0.36ms | mys [80 00]ms | c 33 | 000.000ms | 01pkts | hdr [40 40.54 80]ms 2/3 | Rq 00ms | s# 0203000040 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905012.120482s 0.48ms | mys [80 00]ms | c 34 | 000.000ms | 01pkts | hdr [40 40.48 80]ms 2/3 | Rq 00ms | s# 0203000041 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905012.240355s 0.35ms | mys [80 00]ms | c 35 | 000.000ms | 01pkts | hdr [40 40.52 80]ms 2/3 | Rq 00ms | s# 0203000042 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905012.360834s 0.83ms | mys [80 00]ms | c 36 | 000.000ms | 01pkts | hdr [40 40.85 80]ms 2/3 | Rq 00ms | s# 0203000043 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905012.480238s 0.23ms | mys [80 00]ms | c 37 | 000.000ms | 01pkts | hdr [40 40.47 80]ms 2/3 | Rq 00ms | s# 0203000044 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905012.579122s 99.12ms | mys [80 00]ms | c 37 | 000.000ms | 01pkts | hdr [00 0.75 40]ms 1/3 | Rq 00ms | s# 0103000050 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
