1624899831.312519s 12.51ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.80 25]ms 1/4 | Rq 00ms | s# 0103000001 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.409534s 9.53ms | mys [50 75]ms | c 0 | 000.000ms | 02pkts | hdr [00 0.65 25]ms 1/4 | Rq 00ms | s# 0103000002 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.509585s 9.58ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.73 25]ms 1/4 | Rq 00ms | s# 0103000003 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.582518s 82.51ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.45 50]ms 2/4 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.609950s 9.95ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 1.06 25]ms 1/4 | Rq 00ms | s# 0103000004 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.682683s 82.68ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.39 50]ms 2/4 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.709877s 9.87ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 1.05 25]ms 1/4 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.782105s 82.10ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.31 50]ms 2/4 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.809694s 9.69ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.64 25]ms 1/4 | Rq 00ms | s# 0103000006 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.882135s 82.13ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.32 50]ms 2/4 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.909632s 9.63ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.72 25]ms 1/4 | Rq 00ms | s# 0103000007 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899831.982168s 82.16ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.34 50]ms 2/4 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.009920s 9.92ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 1.01 25]ms 1/4 | Rq 00ms | s# 0103000008 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.082213s 82.21ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.36 50]ms 2/4 | Rq 00ms | s# 0203000006 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.109986s 9.98ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 1.08 25]ms 1/4 | Rq 00ms | s# 0103000009 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.182135s 82.13ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.32 50]ms 2/4 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.209900s 9.90ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 1.01 25]ms 1/4 | Rq 00ms | s# 0103000010 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.282118s 82.12ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.32 50]ms 2/4 | Rq 00ms | s# 0203000008 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.309398s 9.39ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.57 25]ms 1/4 | Rq 00ms | s# 0103000011 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.382316s 82.31ms | mys [50 75]ms | c 1 | 000.000ms | 01pkts | hdr [25 25.20 50]ms 2/4 | Rq 00ms | s# 0203000009 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.409818s 9.82ms | mys [50 75]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.95 25]ms 1/4 | Rq 00ms | s# 0103000012 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.481963s 81.96ms | mys [50 75]ms | c 2 | 000.000ms | 01pkts | hdr [25 25.17 50]ms 2/4 | Rq 00ms | s# 0203000010 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.510367s 10.36ms | mys [50 75]ms | c 2 | 000.000ms | 01pkts | hdr [00 1.02 25]ms 1/4 | Rq 00ms | s# 0103000013 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624899832.582089s 82.09ms | mys [50 75]ms | c 3 | 000.000ms | 01pkts | hdr [25 25.30 50]ms 2/4 | Rq 00ms | s# 0203000011 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
