1624897001.148360s 48.36ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.69 25]ms 1/4 | Rq 00ms | s# 0103000001 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.248103s 48.10ms | mys [50 75]ms | c 0 | 000.000ms | 02pkts | hdr [00 0.56 25]ms 1/4 | Rq 00ms | s# 0103000002 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.354322s 54.32ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.47 25]ms 1/4 | Rq 00ms | s# 0103000003 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.424636s 24.63ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.23 50]ms 2/4 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.448132s 48.13ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.62 25]ms 1/4 | Rq 00ms | s# 0103000004 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.513612s 13.61ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.35 50]ms 2/4 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.548253s 48.25ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.55 25]ms 1/4 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.613612s 13.61ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.31 50]ms 2/4 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.648126s 48.12ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.54 25]ms 1/4 | Rq 00ms | s# 0103000006 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.713604s 13.60ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [25 25.33 50]ms 2/4 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1624897001.748734s 48.73ms | mys [50 75]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.56 25]ms 1/4 | Rq 00ms | s# 0103000007 | [#01]->[#03] | T 260 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
