1624905220.421841s 101.84ms | mys [80 00]ms | c 71 | 000.000ms | 01pkts | hdr [00 0.65 40]ms 1/3 | Rq 00ms | s# 0103000079 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905220.541814s 101.81ms | mys [80 00]ms | c 72 | 000.000ms | 01pkts | hdr [00 0.68 40]ms 1/3 | Rq 00ms | s# 0103000080 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905220.661836s 101.83ms | mys [80 00]ms | c 73 | 000.000ms | 01pkts | hdr [00 0.67 40]ms 1/3 | Rq 00ms | s# 0103000081 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905220.781819s 101.82ms | mys [80 00]ms | c 74 | 000.000ms | 01pkts | hdr [00 0.65 40]ms 1/3 | Rq 00ms | s# 0103000082 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905220.901772s 101.77ms | mys [80 00]ms | c 75 | 000.000ms | 01pkts | hdr [00 0.67 40]ms 1/3 | Rq 00ms | s# 0103000083 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.021807s 101.80ms | mys [80 00]ms | c 76 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000084 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.141657s 101.65ms | mys [80 00]ms | c 77 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000085 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.261814s 101.81ms | mys [80 00]ms | c 78 | 000.000ms | 01pkts | hdr [00 0.71 40]ms 1/3 | Rq 00ms | s# 0103000086 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.381902s 101.90ms | mys [80 00]ms | c 79 | 000.000ms | 01pkts | hdr [00 0.69 40]ms 1/3 | Rq 00ms | s# 0103000087 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.503211s 103.21ms | mys [80 00]ms | c 80 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000088 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.621834s 101.83ms | mys [80 00]ms | c 81 | 000.000ms | 01pkts | hdr [00 0.68 40]ms 1/3 | Rq 00ms | s# 0103000089 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.741820s 101.82ms | mys [80 00]ms | c 82 | 000.000ms | 01pkts | hdr [00 0.62 40]ms 1/3 | Rq 00ms | s# 0103000090 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.862154s 102.15ms | mys [80 00]ms | c 83 | 000.000ms | 01pkts | hdr [00 0.63 40]ms 1/3 | Rq 00ms | s# 0103000091 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905221.981744s 101.74ms | mys [80 00]ms | c 84 | 000.000ms | 01pkts | hdr [00 0.58 40]ms 1/3 | Rq 00ms | s# 0103000092 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.101834s 101.83ms | mys [80 00]ms | c 85 | 000.000ms | 01pkts | hdr [00 0.65 40]ms 1/3 | Rq 00ms | s# 0103000093 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.221833s 101.83ms | mys [80 00]ms | c 86 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000094 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.341891s 101.89ms | mys [80 00]ms | c 87 | 000.000ms | 01pkts | hdr [00 0.71 40]ms 1/3 | Rq 00ms | s# 0103000095 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.461918s 101.91ms | mys [80 00]ms | c 88 | 000.000ms | 01pkts | hdr [00 0.73 40]ms 1/3 | Rq 00ms | s# 0103000096 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.584399s 104.39ms | mys [80 00]ms | c 89 | 000.000ms | 01pkts | hdr [00 0.60 40]ms 1/3 | Rq 00ms | s# 0103000097 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.701887s 101.88ms | mys [80 00]ms | c 90 | 000.000ms | 01pkts | hdr [00 0.69 40]ms 1/3 | Rq 00ms | s# 0103000098 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.821880s 101.88ms | mys [80 00]ms | c 91 | 000.000ms | 01pkts | hdr [00 0.67 40]ms 1/3 | Rq 00ms | s# 0103000099 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905222.941775s 101.77ms | mys [80 00]ms | c 92 | 000.000ms | 01pkts | hdr [00 0.59 40]ms 1/3 | Rq 00ms | s# 0103000100 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.061829s 101.83ms | mys [80 00]ms | c 93 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000101 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.182055s 102.05ms | mys [80 00]ms | c 94 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000102 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.301900s 101.90ms | mys [80 00]ms | c 95 | 000.000ms | 01pkts | hdr [00 0.70 40]ms 1/3 | Rq 00ms | s# 0103000103 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.421869s 101.87ms | mys [80 00]ms | c 96 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000104 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.541905s 101.90ms | mys [80 00]ms | c 97 | 000.000ms | 01pkts | hdr [00 0.71 40]ms 1/3 | Rq 00ms | s# 0103000105 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.662199s 102.19ms | mys [80 00]ms | c 98 | 000.000ms | 01pkts | hdr [00 1.02 40]ms 1/3 | Rq 00ms | s# 0103000106 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.781961s 101.96ms | mys [80 00]ms | c 99 | 000.000ms | 01pkts | hdr [00 0.74 40]ms 1/3 | Rq 00ms | s# 0103000107 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905223.901831s 101.83ms | mys [80 00]ms | c 100 | 000.000ms | 01pkts | hdr [00 0.65 40]ms 1/3 | Rq 00ms | s# 0103000108 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624905224.021869s 101.87ms | mys [80 00]ms | c 101 | 000.000ms | 01pkts | hdr [00 0.67 40]ms 1/3 | Rq 00ms | s# 0103000109 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
