1624907769.265445s 25.44ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.59 40]ms 1/3 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.384131s 24.13ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.51 40]ms 1/3 | Rq 00ms | s# 0103000006 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.497341s 17.34ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.60 40]ms 1/3 | Rq 00ms | s# 0103000007 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.533108s 53.10ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.50 80]ms 2/3 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.627620s 27.62ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.63 40]ms 1/3 | Rq 00ms | s# 0103000008 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.651825s 51.82ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.64 80]ms 2/3 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.737395s 17.39ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.54 40]ms 1/3 | Rq 00ms | s# 0103000009 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.776247s 56.24ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.66 80]ms 2/3 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.856296s 16.29ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.68 40]ms 1/3 | Rq 00ms | s# 0103000010 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.890131s 50.13ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.52 80]ms 2/3 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907769.976571s 16.57ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.62 40]ms 1/3 | Rq 00ms | s# 0103000011 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.014285s 54.28ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.51 80]ms 2/3 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.099900s 19.90ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.65 40]ms 1/3 | Rq 00ms | s# 0103000012 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.138955s 58.95ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.61 80]ms 2/3 | Rq 00ms | s# 0203000006 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.218029s 18.02ms | mys [80 120]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.53 40]ms 1/3 | Rq 00ms | s# 0103000013 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.253516s 53.51ms | mys [80 120]ms | c 1 | 000.000ms | 01pkts | hdr [40 40.60 80]ms 2/3 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.336661s 16.66ms | mys [80 00]ms | c 2 | 000.000ms | 01pkts | hdr [00 0.61 40]ms 1/3 | Rq 00ms | s# 0103000014 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.368305s 48.30ms | mys [80 00]ms | c 2 | 000.000ms | 01pkts | hdr [40 40.66 80]ms 2/3 | Rq 00ms | s# 0203000008 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.460075s 20.07ms | mys [80 00]ms | c 3 | 000.000ms | 01pkts | hdr [00 0.58 40]ms 1/3 | Rq 00ms | s# 0103000015 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.485637s 45.63ms | mys [80 00]ms | c 3 | 000.000ms | 01pkts | hdr [40 40.49 80]ms 2/3 | Rq 00ms | s# 0203000009 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.576265s 16.26ms | mys [80 00]ms | c 4 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000016 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.605907s 45.90ms | mys [80 00]ms | c 4 | 000.000ms | 01pkts | hdr [40 40.70 80]ms 2/3 | Rq 00ms | s# 0203000010 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.702981s 22.98ms | mys [80 00]ms | c 5 | 000.000ms | 01pkts | hdr [00 0.64 40]ms 1/3 | Rq 00ms | s# 0103000017 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.728251s 48.25ms | mys [80 00]ms | c 5 | 000.000ms | 01pkts | hdr [40 40.66 80]ms 2/3 | Rq 00ms | s# 0203000011 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.820462s 20.46ms | mys [80 00]ms | c 6 | 000.000ms | 01pkts | hdr [00 0.60 40]ms 1/3 | Rq 00ms | s# 0103000018 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.848994s 48.99ms | mys [80 00]ms | c 6 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000012 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.936421s 16.42ms | mys [80 00]ms | c 7 | 000.000ms | 01pkts | hdr [00 0.61 40]ms 1/3 | Rq 00ms | s# 0103000019 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907770.965616s 45.61ms | mys [80 00]ms | c 7 | 000.000ms | 01pkts | hdr [40 40.51 80]ms 2/3 | Rq 00ms | s# 0203000013 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.059060s 19.06ms | mys [80 00]ms | c 8 | 000.000ms | 01pkts | hdr [00 0.77 40]ms 1/3 | Rq 00ms | s# 0103000020 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.086544s 46.54ms | mys [80 00]ms | c 8 | 000.000ms | 01pkts | hdr [40 40.59 80]ms 2/3 | Rq 00ms | s# 0203000014 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.181706s 21.70ms | mys [80 00]ms | c 9 | 000.000ms | 01pkts | hdr [00 1.59 40]ms 1/3 | Rq 00ms | s# 0103000021 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.209596s 49.59ms | mys [80 00]ms | c 9 | 000.000ms | 01pkts | hdr [40 40.56 80]ms 2/3 | Rq 00ms | s# 0203000015 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.303744s 23.74ms | mys [80 00]ms | c 10 | 000.000ms | 01pkts | hdr [00 0.72 40]ms 1/3 | Rq 00ms | s# 0103000022 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.329739s 49.73ms | mys [80 00]ms | c 10 | 000.000ms | 01pkts | hdr [40 40.61 80]ms 2/3 | Rq 00ms | s# 0203000016 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.416238s 16.23ms | mys [80 00]ms | c 11 | 000.000ms | 01pkts | hdr [00 0.56 40]ms 1/3 | Rq 00ms | s# 0103000023 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.447886s 47.88ms | mys [80 00]ms | c 11 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000017 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.539457s 19.45ms | mys [80 00]ms | c 12 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000024 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.575164s 55.16ms | mys [80 00]ms | c 12 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000018 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.657517s 17.51ms | mys [80 00]ms | c 13 | 000.000ms | 01pkts | hdr [00 0.65 40]ms 1/3 | Rq 00ms | s# 0103000025 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.689762s 49.76ms | mys [80 00]ms | c 13 | 000.000ms | 01pkts | hdr [40 40.54 80]ms 2/3 | Rq 00ms | s# 0203000019 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.776361s 16.36ms | mys [80 00]ms | c 14 | 000.000ms | 01pkts | hdr [00 0.64 40]ms 1/3 | Rq 00ms | s# 0103000026 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.814928s 54.93ms | mys [80 00]ms | c 14 | 000.000ms | 01pkts | hdr [40 40.71 80]ms 2/3 | Rq 00ms | s# 0203000020 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.902884s 22.88ms | mys [80 00]ms | c 15 | 000.000ms | 01pkts | hdr [00 0.66 40]ms 1/3 | Rq 00ms | s# 0103000027 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907771.928916s 48.91ms | mys [80 00]ms | c 15 | 000.000ms | 01pkts | hdr [40 40.64 80]ms 2/3 | Rq 00ms | s# 0203000021 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.020628s 20.62ms | mys [80 00]ms | c 16 | 000.000ms | 01pkts | hdr [00 0.63 40]ms 1/3 | Rq 00ms | s# 0103000028 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.049763s 49.76ms | mys [80 00]ms | c 16 | 000.000ms | 01pkts | hdr [40 40.54 80]ms 2/3 | Rq 00ms | s# 0203000022 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.138879s 18.88ms | mys [80 00]ms | c 17 | 000.000ms | 01pkts | hdr [00 0.56 40]ms 1/3 | Rq 00ms | s# 0103000029 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.169452s 49.45ms | mys [80 00]ms | c 17 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000023 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.256445s 16.44ms | mys [80 00]ms | c 18 | 000.000ms | 01pkts | hdr [00 0.73 40]ms 1/3 | Rq 00ms | s# 0103000030 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.285904s 45.90ms | mys [80 00]ms | c 18 | 000.000ms | 01pkts | hdr [40 40.71 80]ms 2/3 | Rq 00ms | s# 0203000024 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.379052s 19.05ms | mys [80 00]ms | c 19 | 000.000ms | 01pkts | hdr [00 0.72 40]ms 1/3 | Rq 00ms | s# 0103000031 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624907772.407929s 47.92ms | mys [80 00]ms | c 19 | 000.000ms | 01pkts | hdr [40 40.59 80]ms 2/3 | Rq 00ms | s# 0203000025 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
