eventid init_us end_us type
<id294> #2->#3. Wnd[7681895-7682028]us. Type 80211
<id294> #2->#3. Wnd[7681895-7682028]us. Type 80211
<id285> #3->#3. Wnd[7500000-7725000]us. Type ESENSOR
<id288> #3->#3. Wnd[7500000-7725100]us. Type ISENSOR
<id295> #1->#1. Wnd[7800000-7875000]us. Type ESENSOR
<id298> #1->#1. Wnd[7800000-7875100]us. Type ISENSOR
<id296> #2->#2. Wnd[7800000-7950000]us. Type ESENSOR
<id299> #2->#2. Wnd[7800000-7950100]us. Type ISENSOR
<id297> #3->#3. Wnd[7800000-8025000]us. Type ESENSOR
<id300> #3->#3. Wnd[7800000-8025100]us. Type ISENSOR
<id301> #1->#1. Wnd[8100000-8175000]us. Type ESENSOR
<id304> #1->#1. Wnd[8100000-8175100]us. Type ISENSOR
<id302> #2->#2. Wnd[8100000-8250000]us. Type ESENSOR
<id305> #2->#2. Wnd[8100000-8250100]us. Type ISENSOR
<id303> #3->#3. Wnd[8100000-8325000]us. Type ESENSOR
<id306> #3->#3. Wnd[8100000-8325100]us. Type ISENSOR
<id307> #1->#1. Wnd[8400000-8475000]us. Type ESENSOR
<id310> #1->#1. Wnd[8400000-8475100]us. Type ISENSOR
<id308> #2->#2. Wnd[8400000-8550000]us. Type ESENSOR
<id311> #2->#2. Wnd[8400000-8550100]us. Type ISENSOR
<id309> #3->#3. Wnd[8400000-8625000]us. Type ESENSOR
<id312> #3->#3. Wnd[8400000-8625100]us. Type ISENSOR
<id313> #1->#1. Wnd[8700000-8775000]us. Type ESENSOR
<id316> #1->#1. Wnd[8700000-8775100]us. Type ISENSOR
<id314> #2->#2. Wnd[8700000-8850000]us. Type ESENSOR
<id317> #2->#2. Wnd[8700000-8850100]us. Type ISENSOR
<id315> #3->#3. Wnd[8700000-8925000]us. Type ESENSOR
<id318> #3->#3. Wnd[8700000-8925100]us. Type ISENSOR
<id319> #1->#1. Wnd[9000000-9075000]us. Type ESENSOR
<id322> #1->#1. Wnd[9000000-9075100]us. Type ISENSOR
<id320> #2->#2. Wnd[9000000-9150000]us. Type ESENSOR
<id323> #2->#2. Wnd[9000000-9150100]us. Type ISENSOR
<id321> #3->#3. Wnd[9000000-9225000]us. Type ESENSOR
<id324> #3->#3. Wnd[9000000-9225100]us. Type ISENSOR
<id325> #1->#1. Wnd[9300000-9375000]us. Type ESENSOR
<id328> #1->#1. Wnd[9300000-9375100]us. Type ISENSOR
<id326> #2->#2. Wnd[9300000-9450000]us. Type ESENSOR
<id329> #2->#2. Wnd[9300000-9450100]us. Type ISENSOR
<id327> #3->#3. Wnd[9300000-9525000]us. Type ESENSOR
<id330> #3->#3. Wnd[9300000-9525100]us. Type ISENSOR
<id331> #1->#1. Wnd[9600000-9675000]us. Type ESENSOR
<id334> #1->#1. Wnd[9600000-9675100]us. Type ISENSOR
<id332> #2->#2. Wnd[9600000-9750000]us. Type ESENSOR
<id335> #2->#2. Wnd[9600000-9750100]us. Type ISENSOR
<id333> #3->#3. Wnd[9600000-9825000]us. Type ESENSOR
<id336> #3->#3. Wnd[9600000-9825100]us. Type ISENSOR
<id337> #1->#1. Wnd[9900000-9975000]us. Type ESENSOR
<id340> #1->#1. Wnd[9900000-9975100]us. Type ISENSOR
<id338> #2->#2. Wnd[9900000-10050000]us. Type ESENSOR
<id341> #2->#2. Wnd[9900000-10050100]us. Type ISENSOR
<id339> #3->#3. Wnd[9900000-10125000]us. Type ESENSOR
<id342> #3->#3. Wnd[9900000-10125100]us. Type ISENSOR
<id343> #1->#1. Wnd[10200000-10275000]us. Type ESENSOR
<id346> #1->#1. Wnd[10200000-10275100]us. Type ISENSOR
<id344> #2->#2. Wnd[10200000-10350000]us. Type ESENSOR
<id347> #2->#2. Wnd[10200000-10350100]us. Type ISENSOR
<id345> #3->#3. Wnd[10200000-10425000]us. Type ESENSOR
<id348> #3->#3. Wnd[10200000-10425100]us. Type ISENSOR
<id349> #1->#1. Wnd[10500000-10575000]us. Type ESENSOR
<id352> #1->#1. Wnd[10500000-10575100]us. Type ISENSOR
<id350> #2->#2. Wnd[10500000-10650000]us. Type ESENSOR
<id353> #2->#2. Wnd[10500000-10650100]us. Type ISENSOR
<id351> #3->#3. Wnd[10500000-10725000]us. Type ESENSOR
<id354> #3->#3. Wnd[10500000-10725100]us. Type ISENSOR
<id355> #1->#1. Wnd[10800000-10875000]us. Type ESENSOR
<id358> #1->#1. Wnd[10800000-10875100]us. Type ISENSOR
<id356> #2->#2. Wnd[10800000-10950000]us. Type ESENSOR
<id359> #2->#2. Wnd[10800000-10950100]us. Type ISENSOR
<id357> #3->#3. Wnd[10800000-11025000]us. Type ESENSOR
<id360> #3->#3. Wnd[10800000-11025100]us. Type ISENSOR
<id361> #1->#1. Wnd[11100000-11175000]us. Type ESENSOR
<id364> #1->#1. Wnd[11100000-11175100]us. Type ISENSOR
<id362> #2->#2. Wnd[11100000-11250000]us. Type ESENSOR
<id365> #2->#2. Wnd[11100000-11250100]us. Type ISENSOR
<id363> #3->#3. Wnd[11100000-11325000]us. Type ESENSOR
<id366> #3->#3. Wnd[11100000-11325100]us. Type ISENSOR
<id367> #1->#1. Wnd[11400000-11475000]us. Type ESENSOR
<id370> #1->#1. Wnd[11400000-11475100]us. Type ISENSOR
<id368> #2->#2. Wnd[11400000-11550000]us. Type ESENSOR
<id371> #2->#2. Wnd[11400000-11550100]us. Type ISENSOR
<id369> #3->#3. Wnd[11400000-11625000]us. Type ESENSOR
<id372> #3->#3. Wnd[11400000-11625100]us. Type ISENSOR
<id373> #1->#1. Wnd[11700000-11775000]us. Type ESENSOR
<id376> #1->#1. Wnd[11700000-11775100]us. Type ISENSOR
<id374> #2->#2. Wnd[11700000-11850000]us. Type ESENSOR
<id377> #2->#2. Wnd[11700000-11850100]us. Type ISENSOR
<id375> #3->#3. Wnd[11700000-11925000]us. Type ESENSOR
<id378> #3->#3. Wnd[11700000-11925100]us. Type ISENSOR
<id379> #1->#1. Wnd[12000000-12075000]us. Type ESENSOR
<id382> #1->#1. Wnd[12000000-12075100]us. Type ISENSOR
<id380> #2->#2. Wnd[12000000-12150000]us. Type ESENSOR
<id383> #2->#2. Wnd[12000000-12150100]us. Type ISENSOR
<id381> #3->#3. Wnd[12000000-12225000]us. Type ESENSOR
<id384> #3->#3. Wnd[12000000-12225100]us. Type ISENSOR
<id385> #1->#1. Wnd[12300000-12375000]us. Type ESENSOR
<id388> #1->#1. Wnd[12300000-12375100]us. Type ISENSOR
<id386> #2->#2. Wnd[12300000-12450000]us. Type ESENSOR
<id389> #2->#2. Wnd[12300000-12450100]us. Type ISENSOR
