eventid init_us end_us type
<id071> #2->#1. Wnd[2328648-2328781]us. Type 80211
<id072> #2->#3. Wnd[2329408-2329541]us. Type 80211
<id072> #2->#3. Wnd[2329408-2329541]us. Type 80211
<id079> #3->#1. Wnd[2415437-2415570]us. Type 80211
<id079> #3->#1. Wnd[2415437-2415570]us. Type 80211
<id080> #3->#2. Wnd[2416602-2416735]us. Type 80211
<id080> #3->#2. Wnd[2416602-2416735]us. Type 80211
<id081> #1->#2. Wnd[2447387-2447520]us. Type 80211
<id081> #1->#2. Wnd[2447387-2447520]us. Type 80211
<id082> #1->#3. Wnd[2448389-2448522]us. Type 80211
<id083> #2->#1. Wnd[2448400-2448533]us. Type 80211
<id082> #1->#3. Wnd[2448389-2448522]us. Type 80211
<id083> #2->#1. Wnd[2448550-2448683]us. Type 80211
<id084> #2->#3. Wnd[2449405-2449538]us. Type 80211
<id084> #2->#3. Wnd[2449405-2449538]us. Type 80211
<id073> #1->#1. Wnd[2400000-2475000]us. Type ESENSOR
<id076> #1->#1. Wnd[2400000-2475100]us. Type ISENSOR
<id085> #3->#1. Wnd[2535439-2535572]us. Type 80211
<id085> #3->#1. Wnd[2535439-2535572]us. Type 80211
<id086> #3->#2. Wnd[2536439-2536572]us. Type 80211
<id086> #3->#2. Wnd[2536439-2536572]us. Type 80211
<id074> #2->#2. Wnd[2400000-2550000]us. Type ESENSOR
<id077> #2->#2. Wnd[2400000-2550100]us. Type ISENSOR
<id087> #1->#2. Wnd[2567387-2567520]us. Type 80211
<id087> #1->#2. Wnd[2567387-2567520]us. Type 80211
<id088> #1->#3. Wnd[2568391-2568524]us. Type 80211
<id089> #2->#1. Wnd[2568406-2568539]us. Type 80211
<id088> #1->#3. Wnd[2568391-2568524]us. Type 80211
<id089> #2->#1. Wnd[2568588-2568721]us. Type 80211
<id090> #2->#3. Wnd[2569407-2569540]us. Type 80211
<id090> #2->#3. Wnd[2569407-2569540]us. Type 80211
<id075> #3->#3. Wnd[2400000-2625000]us. Type ESENSOR
<id078> #3->#3. Wnd[2400000-2625100]us. Type ISENSOR
<id091> #3->#1. Wnd[2655442-2655575]us. Type 80211
<id091> #3->#1. Wnd[2655442-2655575]us. Type 80211
<id092> #3->#2. Wnd[2656628-2656761]us. Type 80211
<id092> #3->#2. Wnd[2656628-2656761]us. Type 80211
<id093> #1->#2. Wnd[2687389-2687522]us. Type 80211
<id093> #1->#2. Wnd[2687389-2687522]us. Type 80211
<id094> #1->#3. Wnd[2688388-2688521]us. Type 80211
<id095> #2->#1. Wnd[2688403-2688536]us. Type 80211
<id094> #1->#3. Wnd[2688388-2688521]us. Type 80211
<id095> #2->#1. Wnd[2688648-2688781]us. Type 80211
<id096> #2->#3. Wnd[2689407-2689540]us. Type 80211
<id096> #2->#3. Wnd[2689407-2689540]us. Type 80211
<id097> #1->#1. Wnd[2700000-2775000]us. Type ESENSOR
<id100> #1->#1. Wnd[2700000-2775100]us. Type ISENSOR
<id103> #3->#1. Wnd[2775443-2775576]us. Type 80211
<id103> #3->#1. Wnd[2775443-2775576]us. Type 80211
<id104> #3->#2. Wnd[2776442-2776575]us. Type 80211
<id104> #3->#2. Wnd[2776442-2776575]us. Type 80211
<id105> #1->#2. Wnd[2807386-2807519]us. Type 80211
<id105> #1->#2. Wnd[2807386-2807519]us. Type 80211
<id106> #1->#3. Wnd[2808388-2808521]us. Type 80211
<id107> #2->#1. Wnd[2808403-2808536]us. Type 80211
<id106> #1->#3. Wnd[2808388-2808521]us. Type 80211
<id107> #2->#1. Wnd[2808657-2808790]us. Type 80211
<id108> #2->#3. Wnd[2809408-2809541]us. Type 80211
<id108> #2->#3. Wnd[2809408-2809541]us. Type 80211
<id098> #2->#2. Wnd[2700000-2850000]us. Type ESENSOR
<id101> #2->#2. Wnd[2700000-2850100]us. Type ISENSOR
<id109> #3->#1. Wnd[2895439-2895572]us. Type 80211
<id109> #3->#1. Wnd[2895439-2895572]us. Type 80211
<id110> #3->#2. Wnd[2896441-2896574]us. Type 80211
<id110> #3->#2. Wnd[2896441-2896574]us. Type 80211
<id099> #3->#3. Wnd[2700000-2925000]us. Type ESENSOR
<id102> #3->#3. Wnd[2700000-2925100]us. Type ISENSOR
<id111> #1->#2. Wnd[2927387-2927520]us. Type 80211
<id111> #1->#2. Wnd[2927387-2927520]us. Type 80211
<id112> #1->#3. Wnd[2928390-2928523]us. Type 80211
<id113> #2->#1. Wnd[2928402-2928535]us. Type 80211
<id112> #1->#3. Wnd[2928390-2928523]us. Type 80211
<id113> #2->#1. Wnd[2928578-2928711]us. Type 80211
<id114> #2->#3. Wnd[2929404-2929537]us. Type 80211
<id114> #2->#3. Wnd[2929404-2929537]us. Type 80211
<id121> #3->#1. Wnd[3015441-3015574]us. Type 80211
<id121> #3->#1. Wnd[3015441-3015574]us. Type 80211
<id122> #3->#2. Wnd[3016439-3016572]us. Type 80211
<id122> #3->#2. Wnd[3016439-3016572]us. Type 80211
<id123> #2->#1. Wnd[3048406-3048539]us. Type 80211
<id123> #2->#1. Wnd[3048406-3048539]us. Type 80211
<id124> #2->#3. Wnd[3049407-3049540]us. Type 80211
<id124> #2->#3. Wnd[3049407-3049540]us. Type 80211
<id115> #1->#1. Wnd[3000000-3075000]us. Type ESENSOR
<id118> #1->#1. Wnd[3000000-3075100]us. Type ISENSOR
<id125> #3->#1. Wnd[3135440-3135573]us. Type 80211
<id125> #3->#1. Wnd[3135440-3135573]us. Type 80211
<id126> #3->#2. Wnd[3136444-3136577]us. Type 80211
<id126> #3->#2. Wnd[3136444-3136577]us. Type 80211
<id116> #2->#2. Wnd[3000000-3150000]us. Type ESENSOR
<id119> #2->#2. Wnd[3000000-3150100]us. Type ISENSOR
<id127> #2->#1. Wnd[3168408-3168541]us. Type 80211
<id127> #2->#1. Wnd[3168408-3168541]us. Type 80211
<id128> #2->#3. Wnd[3169408-3169541]us. Type 80211
<id128> #2->#3. Wnd[3169408-3169541]us. Type 80211
<id117> #3->#3. Wnd[3000000-3225000]us. Type ESENSOR
<id120> #3->#3. Wnd[3000000-3225100]us. Type ISENSOR
<id129> #3->#1. Wnd[3255445-3255578]us. Type 80211
<id129> #3->#1. Wnd[3255445-3255578]us. Type 80211
<id130> #3->#2. Wnd[3256447-3256580]us. Type 80211
<id130> #3->#2. Wnd[3256447-3256580]us. Type 80211
<id131> #2->#1. Wnd[3288400-3288533]us. Type 80211
<id131> #2->#1. Wnd[3288400-3288533]us. Type 80211
<id132> #2->#3. Wnd[3289406-3289539]us. Type 80211
<id132> #2->#3. Wnd[3289406-3289539]us. Type 80211
<id133> #1->#1. Wnd[3300000-3375000]us. Type ESENSOR
<id136> #1->#1. Wnd[3300000-3375100]us. Type ISENSOR
<id139> #3->#1. Wnd[3375439-3375572]us. Type 80211
<id139> #3->#1. Wnd[3375439-3375572]us. Type 80211
<id140> #3->#2. Wnd[3376445-3376578]us. Type 80211
<id140> #3->#2. Wnd[3376445-3376578]us. Type 80211
<id141> #2->#1. Wnd[3408407-3408540]us. Type 80211
<id141> #2->#1. Wnd[3408407-3408540]us. Type 80211
<id142> #2->#3. Wnd[3409408-3409541]us. Type 80211
<id142> #2->#3. Wnd[3409408-3409541]us. Type 80211
<id134> #2->#2. Wnd[3300000-3450000]us. Type ESENSOR
