1.840142s 40.14ms | mys [40 80]ms | c 2 | 000.140ms | 00pkts | hdr [40 40.14 80]ms 2/3 | Rq 00ms | s# 0201000001 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.841017s 41.02ms | mys [40 80]ms | c 2 | 000.004ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.960005s 40.00ms | mys [40 80]ms | c 3 | 000.003ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000002 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.961007s 41.01ms | mys [40 80]ms | c 3 | 000.002ms | 00pkts | hdr [40 41.00 80]ms 2/3 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.080004s 40.00ms | mys [40 80]ms | c 4 | 000.003ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000003 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.081008s 41.01ms | mys [40 80]ms | c 4 | 000.003ms | 00pkts | hdr [40 41.00 80]ms 2/3 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.200140s 40.14ms | mys [40 80]ms | c 5 | 000.138ms | 00pkts | hdr [40 40.14 80]ms 2/3 | Rq 00ms | s# 0201000004 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.201007s 41.01ms | mys [40 80]ms | c 5 | 000.003ms | 00pkts | hdr [40 41.00 80]ms 2/3 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.320006s 40.01ms | mys [40 80]ms | c 6 | 000.002ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000005 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.321011s 41.01ms | mys [40 80]ms | c 6 | 000.002ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.440004s 40.00ms | mys [40 80]ms | c 7 | 000.002ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000006 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
