3.560008s 80.01ms | mys [80 120]ms | c 15 | 000.003ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000014 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.561012s 81.01ms | mys [80 120]ms | c 15 | 000.002ms | 00pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000014 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.680009s 80.01ms | mys [80 120]ms | c 16 | 000.002ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000015 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.681014s 81.01ms | mys [80 120]ms | c 16 | 000.003ms | 00pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000015 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.800004s 80.00ms | mys [80 120]ms | c 17 | 000.003ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000016 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.801005s 81.00ms | mys [80 120]ms | c 17 | 000.002ms | 00pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000016 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.920010s 80.01ms | mys [80 120]ms | c 18 | 000.003ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000017 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.921012s 81.01ms | mys [80 120]ms | c 18 | 000.003ms | 00pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000017 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
4.040009s 80.01ms | mys [80 120]ms | c 19 | 000.007ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000018 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
4.041008s 81.01ms | mys [80 120]ms | c 19 | 000.002ms | 00pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000018 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
4.160008s 80.01ms | mys [80 120]ms | c 20 | 000.004ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000019 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
4.161009s 81.01ms | mys [80 120]ms | c 20 | 000.002ms | 00pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000019 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
