1.681301s 1.30ms | mys [00 40]ms | c 3 | 000.000ms | 01pkts | hdr [40 40.14 80]ms 2/3 | Rq 00ms | s# 0201000001 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.768205s 88.21ms | mys [00 40]ms | c 4 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000001 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.801359s 1.36ms | mys [00 40]ms | c 4 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000002 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.888205s 88.21ms | mys [00 40]ms | c 5 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000002 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.921162s 1.16ms | mys [00 40]ms | c 5 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000003 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.008202s 88.20ms | mys [00 40]ms | c 6 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000003 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.041303s 1.30ms | mys [00 40]ms | c 6 | 000.000ms | 01pkts | hdr [40 40.14 80]ms 2/3 | Rq 00ms | s# 0201000004 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.128203s 88.20ms | mys [00 40]ms | c 7 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000004 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.161407s 1.41ms | mys [00 40]ms | c 7 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000005 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.248197s 88.20ms | mys [00 40]ms | c 8 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000005 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.281310s 1.31ms | mys [00 40]ms | c 8 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000006 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.368200s 88.20ms | mys [00 40]ms | c 9 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000006 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.401347s 1.35ms | mys [00 40]ms | c 9 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000007 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.488202s 88.20ms | mys [00 40]ms | c 10 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000007 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.521407s 1.41ms | mys [00 40]ms | c 10 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000008 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.608203s 88.20ms | mys [00 40]ms | c 11 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000008 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.641416s 1.42ms | mys [00 40]ms | c 11 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000009 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.728199s 88.20ms | mys [00 40]ms | c 12 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000009 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.761338s 1.34ms | mys [00 40]ms | c 12 | 000.000ms | 01pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000010 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.848201s 88.20ms | mys [00 40]ms | c 13 | 000.000ms | 01pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000010 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
