6.640011s 40.01ms | mys [40 80]ms | c 2 | 000.008ms | 00pkts | hdr [40 40.01 80]ms 2/3 | Rq 00ms | s# 0201000001 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.641013s 41.01ms | mys [40 80]ms | c 2 | 000.002ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.760007s 40.01ms | mys [40 80]ms | c 3 | 000.003ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000002 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.761008s 41.01ms | mys [40 80]ms | c 3 | 000.002ms | 00pkts | hdr [40 41.00 80]ms 2/3 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.880008s 40.01ms | mys [40 80]ms | c 4 | 000.008ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000003 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.881005s 41.00ms | mys [40 80]ms | c 4 | 000.002ms | 00pkts | hdr [40 41.00 80]ms 2/3 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.000007s 40.01ms | mys [40 80]ms | c 5 | 000.002ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000004 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.001011s 41.01ms | mys [40 80]ms | c 5 | 000.003ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.120009s 40.01ms | mys [40 80]ms | c 6 | 000.004ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000005 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.121010s 41.01ms | mys [40 80]ms | c 6 | 000.003ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.240007s 40.01ms | mys [40 80]ms | c 7 | 000.002ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000006 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.241009s 41.01ms | mys [40 80]ms | c 7 | 000.002ms | 00pkts | hdr [40 41.00 80]ms 2/3 | Rq 00ms | s# 0203000006 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.360009s 40.01ms | mys [40 80]ms | c 8 | 000.003ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000007 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.361016s 41.02ms | mys [40 80]ms | c 8 | 000.005ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.480010s 40.01ms | mys [40 80]ms | c 9 | 000.005ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000008 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.481150s 41.15ms | mys [40 80]ms | c 9 | 000.002ms | 00pkts | hdr [40 41.14 80]ms 2/3 | Rq 00ms | s# 0203000008 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.600004s 40.00ms | mys [40 80]ms | c 10 | 000.002ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000009 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.601010s 41.01ms | mys [40 80]ms | c 10 | 000.003ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000009 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.720007s 40.01ms | mys [40 80]ms | c 11 | 000.003ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000010 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.721008s 41.01ms | mys [40 80]ms | c 11 | 000.002ms | 00pkts | hdr [40 41.00 80]ms 2/3 | Rq 00ms | s# 0203000010 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.840006s 40.01ms | mys [40 80]ms | c 12 | 000.002ms | 00pkts | hdr [40 40.00 80]ms 2/3 | Rq 00ms | s# 0201000011 | [#02]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.841013s 41.01ms | mys [40 80]ms | c 12 | 000.003ms | 00pkts | hdr [40 41.01 80]ms 2/3 | Rq 00ms | s# 0203000011 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
