6.495397s 15.40ms | mys [40 80]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000001 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.615393s 15.39ms | mys [40 80]ms | c 2 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000002 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.735399s 15.40ms | mys [40 80]ms | c 3 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000003 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.855400s 15.40ms | mys [40 80]ms | c 4 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000004 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
6.975399s 15.40ms | mys [40 80]ms | c 5 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000005 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.095394s 15.39ms | mys [40 80]ms | c 6 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000006 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.215394s 15.39ms | mys [40 80]ms | c 7 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000007 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.335400s 15.40ms | mys [40 80]ms | c 8 | 000.000ms | 00pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000008 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.455398s 15.40ms | mys [40 80]ms | c 9 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000009 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.575399s 15.40ms | mys [40 80]ms | c 10 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000010 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
7.695392s 15.39ms | mys [40 80]ms | c 11 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000011 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
